"Time of Day","Lap","LeadLap","Lap Tm","Speed","S1","S1 Tm","S2","S2 Tm","S3","S3 Tm","SPT","SPT Tm"
121 - Felipe Baptista - Stock Car PRO 2024
"12:05:11.733","1","1","1:31.349","151,135","0,0","35.357","0,0","37.524","0,0","18.468","204,9","0.527"
"12:06:40.248","2","2","1:28.515","155,974","0,0","33.128","0,0","37.378","0,0","18.009","242,2","0.446"
"12:08:08.362","3","3","1:28.114","156,683","0,0","32.980","0,0","37.183","0,0","17.951","246,0","0.439"
"12:09:36.718","4","4","1:28.356","156,254","0,0","32.823","0,0","37.401","0,0","18.132","244,9","0.441"
"12:11:04.846","5","5","1:28.128","156,658","0,0","32.705","0,0","37.391","0,0","18.032","246,0","0.439"
"12:12:32.978","6","6","1:28.132","156,651","0,0","32.753","0,0","37.315","0,0","18.064","246,6","0.438"
"12:14:24.646","7","7","1:51.668","123,634","0,0","36.485","0,0","47.971","0,0","27.212","246,6","0.438"
"12:16:36.734","8","8","2:12.088","104,521","0,0","51.487","0,0","53.918","0,0","26.683","131,2","0.823"
"12:18:57.853","9","9","2:21.119","97,832","0,0","49.569","0,0","1:09.539","0,0","22.011","131,1","0.824"
"12:20:57.584","10","10","1:59.731","115,308","0,0","44.723","0,0","56.316","0,0","18.692","169,8","0.636"
"12:22:26.957","11","11","1:29.373","154,476","0,0","33.221","0,0","37.510","0,0","18.642","241,6","0.447"
"12:23:55.268","12","12","1:28.311","156,334","0,0","33.060","0,0","37.235","0,0","18.016","243,2","0.444"
"12:25:23.071","13","13","1:27.803","157,238","0,0","32.829","0,0","37.077","0,0","17.897","246,6","0.438"
"12:26:51.005","14","14","1:27.934","157,004","0,0","32.654","0,0","37.283","0,0","17.997","246,6","0.438"
"12:28:58.388","15","15","2:07.383","108,382","0,0","32.775","0,0","37.542","","","247,7","0.436"
"12:30:34.289","16","16","1:35.901","143,961","","","0,0","37.345","0,0","18.104","188,2","0.574"
"12:32:02.337","17","17","1:28.048","156,801","0,0","32.802","0,0","37.253","0,0","17.993","246,6","0.438"
"12:33:30.663","18","18","1:28.326","156,307","0,0","32.711","0,0","37.527","0,0","18.088","247,1","0.437"
"12:34:59.077","19","19","1:28.414","156,152","0,0","32.837","0,0","37.464","0,0","18.113","248,3","0.435"
