"Time of Day","Lap","LeadLap","Lap Tm","Speed","Hits","Strength","Noise","S1","S1 Tm","S2","S2 Tm","S3","S3 Tm","SPT","SPT Tm"
91 - Eduardo Barrichello - Stock Car PRO 2024
"14:04:19.250","1","1","1:06.005","166,787","41","179","29","0,0","28.732","0,0","23.717","0,0","13.556","204,9","0.527"
"14:05:23.246","2","2","1:03.996","172,023","48","175","24","0,0","26.934","0,0","23.642","0,0","13.420","214,7","0.503"
"14:06:27.065","3","3","1:03.819","172,500","50","176","33","0,0","26.859","0,0","23.539","0,0","13.421","214,3","0.504"
"14:07:30.718","4","4","1:03.653","172,950","52","175","41","0,0","26.821","0,0","23.489","0,0","13.343","213,4","0.506"
"14:08:38.487","5","5","1:07.769","162,446","75","178","49","0,0","26.914","0,0","23.520","0,0","17.335","207,3","0.521"
"14:10:21.276","6","6","1:42.789","107,101","90","178","34","0,0","39.248","0,0","39.100","0,0","24.441","105,7","1.022"
"14:12:05.278","7","7","1:44.002","105,852","83","178","31","0,0","46.605","0,0","35.187","0,0","22.210","139,0","0.777"
"14:14:05.725","8","8","2:00.447","91,400","56","178","31","0,0","51.374","0,0","50.749","0,0","18.324","76,5","1.412"
"14:15:09.992","9","9","1:04.267","171,298","51","175","29","0,0","27.079","0,0","23.645","0,0","13.543","204,2","0.529"
"14:16:13.682","10","10","1:03.690","172,850","47","176","33","0,0","26.866","0,0","23.539","0,0","13.285","213,4","0.506"
"14:17:17.574","11","11","1:03.892","172,303","48","175","41","0,0","26.920","0,0","23.599","0,0","13.373","216,4","0.499"
"14:18:21.549","12","12","1:03.975","172,080","52","178","30","0,0","26.991","0,0","23.587","0,0","13.397","215,1","0.502"
"14:19:25.565","13","13","1:04.016","171,970","52","178","63","0,0","27.034","0,0","23.619","0,0","13.363","216,4","0.499"
"14:21:03.201","14","14","1:37.636","112,753","76","186","24","0,0","27.125","0,0","23.403","","","214,3","0.504"
"14:22:20.134","15","15","1:16.933","143,096","47","176","36","","","0,0","23.739","0,0","13.453","213,9","0.505"
"14:23:24.156","16","16","1:04.022","171,953","43","176","29","0,0","27.083","0,0","23.562","0,0","13.377","214,7","0.503"
"14:24:28.387","17","17","1:04.231","171,394","51","175","59","0,0","27.203","0,0","23.631","0,0","13.397","216,0","0.500"
"14:25:32.857","18","18","1:04.470","170,758","44","180","54","0,0","27.334","0,0","23.690","0,0","13.446","215,1","0.502"
"14:26:37.361","19","19","1:04.504","170,668","44","175","47","0,0","27.416","0,0","23.620","0,0","13.468","215,1","0.502"
"14:27:42.501","20","20","1:05.140","169,002","33","175","43","0,0","27.405","0,0","24.023","0,0","13.712","203,8","0.530"
"14:28:47.684","21","21","1:05.183","168,891","48","174","39","0,0","27.516","0,0","23.994","0,0","13.673","203,8","0.530"
"14:29:52.769","22","22","1:05.085","169,145","47","175","37","0,0","27.433","0,0","24.010","0,0","13.642","203,8","0.530"
"14:30:57.339","23","23","1:04.570","170,494","44","174","34","0,0","27.445","0,0","23.667","0,0","13.458","215,1","0.502"
"14:32:02.517","24","24","1:05.178","168,904","44","175","31","0,0","27.492","0,0","24.003","0,0","13.683","203,0","0.532"
"14:33:07.751","25","25","1:05.234","168,759","52","175","31","0,0","27.434","0,0","24.084","0,0","13.716","206,5","0.523"
"14:34:13.246","26","26","1:05.495","168,086","54","175","33","0,0","27.613","0,0","24.150","0,0","13.732","203,8","0.530"
"14:35:19.022","27","27","1:05.776","167,368","63","188","34","0,0","27.673","0,0","24.265","0,0","13.838","204,9","0.527"
10 - Ricardo Zonta - Stock Car PRO 2024
"14:04:19.005","1","1","1:06.146","166,432","21","124","29","0,0","28.726","0,0","23.833","0,0","13.587","203,8","0.530"
"14:05:23.639","2","2","1:04.634","170,325","5","133","24","0,0","26.945","0,0","24.090","0,0","13.599","214,7","0.503"
"14:06:27.819","3","3","1:04.180","171,530","14","130","33","0,0","26.981","0,0","23.777","0,0","13.422","214,3","0.504"
"14:07:31.632","4","4","1:03.813","172,517","17","129","41","0,0","26.870","0,0","23.657","0,0","13.286","214,3","0.504"
"14:08:39.197","5","5","1:07.565","162,936","24","126","49","0,0","26.912","0,0","23.808","0,0","16.845","211,8","0.510"
"14:10:22.295","6","6","1:43.098","106,780","41","127","34","0,0","39.278","0,0","39.531","0,0","24.289","106,8","1.011"
"14:12:06.068","7","7","1:43.773","106,085","31","131","31","0,0","47.030","0,0","34.780","0,0","21.963","142,1","0.760"
"14:14:06.123","8","8","2:00.055","91,698","6","121","31","0,0","51.194","0,0","50.583","0,0","18.278","75,4","1.432"
"14:15:10.313","9","9","1:04.190","171,503","19","126","29","0,0","26.961","0,0","23.709","0,0","13.520","204,2","0.529"
"14:16:14.244","10","10","1:03.931","172,198","6","127","33","0,0","26.949","0,0","23.627","0,0","13.355","213,9","0.505"
"14:17:18.184","11","11","1:03.940","172,174","6","127","41","0,0","26.923","0,0","23.736","0,0","13.281","214,7","0.503"
"14:18:22.423","12","12","1:04.239","171,373","16","126","30","0,0","27.085","0,0","23.748","0,0","13.406","213,4","0.506"
"14:20:00.697","13","13","1:38.274","112,021","32","138","17","0,0","27.018","0,0","23.909","","","204,5","0.528"
"14:21:16.984","14","14","1:16.287","144,308","11","128","33","","","0,0","23.732","0,0","13.382","213,9","0.505"
"14:22:21.507","15","15","1:04.523","170,618","17","131","36","0,0","27.276","0,0","23.826","0,0","13.421","215,1","0.502"
"14:23:25.960","16","16","1:04.453","170,804","7","126","29","0,0","27.213","0,0","23.824","0,0","13.416","214,3","0.504"
"14:24:31.030","17","17","1:05.070","169,184","9","129","59","0,0","27.215","0,0","24.190","0,0","13.665","204,5","0.528"
"14:25:35.613","18","18","1:04.583","170,460","18","127","54","0,0","27.205","0,0","23.949","0,0","13.429","214,3","0.504"
"14:26:40.669","19","19","1:05.056","169,220","10","128","47","0,0","27.245","0,0","24.133","0,0","13.678","204,5","0.528"
"14:27:45.104","20","20","1:04.435","170,851","13","128","43","0,0","27.167","0,0","23.883","0,0","13.385","214,3","0.504"
"14:28:50.212","21","21","1:05.108","169,085","17","124","34","0,0","27.224","0,0","24.257","0,0","13.627","204,2","0.529"
"14:29:54.820","22","22","1:04.608","170,394","4","127","37","0,0","27.292","0,0","23.939","0,0","13.377","213,9","0.505"
"14:30:59.873","23","23","1:05.053","169,228","20","125","34","0,0","27.353","0,0","24.058","0,0","13.642","205,3","0.526"
"14:32:05.064","24","24","1:05.191","168,870","15","128","31","0,0","27.331","0,0","24.176","0,0","13.684","205,3","0.526"
"14:33:10.358","25","25","1:05.294","168,604","19","129","31","0,0","27.372","0,0","24.219","0,0","13.703","205,7","0.525"
"14:34:15.576","26","26","1:05.218","168,800","18","128","33","0,0","27.394","0,0","24.207","0,0","13.617","204,5","0.528"
"14:35:20.873","27","27","1:05.297","168,596","21","134","34","0,0","27.622","0,0","24.026","0,0","13.649","214,3","0.504"
90 - Ricardo Mauricio - Stock Car PRO 2024
"14:04:19.871","1","1","1:06.798","164,807","29","180","29","0,0","29.392","0,0","23.881","0,0","13.525","203,4","0.531"
"14:05:24.366","2","2","1:04.495","170,692","30","189","24","0,0","27.016","0,0","24.011","0,0","13.468","204,5","0.528"
"14:06:28.515","3","3","1:04.149","171,613","31","185","33","0,0","26.941","0,0","23.834","0,0","13.374","215,6","0.501"
"14:07:32.384","4","4","1:03.869","172,365","34","188","41","0,0","26.892","0,0","23.686","0,0","13.291","214,7","0.503"
"14:08:40.177","5","5","1:07.793","162,388","46","184","49","0,0","26.882","0,0","23.958","0,0","16.953","192,5","0.561"
"14:10:23.053","6","6","1:42.876","107,010","60","182","34","0,0","38.886","0,0","39.774","0,0","24.216","106,7","1.012"
"14:12:06.815","7","7","1:43.762","106,097","41","185","31","0,0","47.377","0,0","34.573","0,0","21.812","146,3","0.738"
"14:14:06.514","8","8","1:59.699","91,971","30","185","31","0,0","51.156","0,0","50.464","0,0","18.079","80,5","1.341"
"14:15:10.872","9","9","1:04.358","171,056","22","184","29","0,0","27.116","0,0","23.823","0,0","13.419","204,2","0.529"
"14:16:15.220","10","10","1:04.348","171,082","30","183","33","0,0","27.012","0,0","23.891","0,0","13.445","203,8","0.530"
"14:17:19.183","11","11","1:03.963","172,112","26","186","41","0,0","26.929","0,0","23.729","0,0","13.305","216,0","0.500"
"14:18:58.365","12","12","1:39.182","110,996","65","191","23","0,0","27.085","0,0","23.964","","","203,8","0.530"
"14:20:15.039","13","13","1:16.674","143,579","29","186","43","","","0,0","23.817","0,0","13.301","214,7","0.503"
"14:21:19.169","14","14","1:04.130","171,664","29","186","33","0,0","27.090","0,0","23.722","0,0","13.318","215,6","0.501"
"14:22:22.939","15","15","1:03.770","172,633","35","182","36","0,0","27.057","0,0","23.421","0,0","13.292","216,4","0.499"
"14:23:27.527","16","16","1:04.588","170,447","21","184","29","0,0","27.108","0,0","23.987","0,0","13.493","204,2","0.529"
"14:24:31.655","17","17","1:04.128","171,669","32","186","59","0,0","27.122","0,0","23.633","0,0","13.373","216,4","0.499"
"14:25:36.636","18","18","1:04.981","169,416","33","186","54","0,0","27.194","0,0","24.205","0,0","13.582","204,2","0.529"
