"Time of Day","Lap","LeadLap","Lap Tm","Speed","S1","S1 Tm","S2","S2 Tm","S3","S3 Tm","SPT","SPT Tm"
4 - Julio Campos - Stock Car PRO 2024
"14:05:31.310","1","1","1:37.442","127,202","0,0","32.537","0,0","28.126","0,0","36.779","161,0","0.671"
"14:07:03.807","2","2","1:32.497","134,002","0,0","28.077","0,0","27.739","0,0","36.681","204,9","0.527"
"14:08:35.918","3","3","1:32.111","134,564","0,0","27.594","0,0","27.827","0,0","36.690","216,9","0.498"
"14:10:07.876","4","4","1:31.958","134,788","0,0","27.478","0,0","27.820","0,0","36.660","216,9","0.498"
"14:11:39.619","5","5","1:31.743","135,103","0,0","27.593","0,0","27.660","0,0","36.490","216,9","0.498"
"14:13:11.645","6","6","1:32.026","134,688","0,0","27.513","0,0","27.854","0,0","36.659","217,3","0.497"
"14:14:43.814","7","7","1:32.169","134,479","0,0","27.492","0,0","27.951","0,0","36.726","217,7","0.496"
"14:16:16.291","8","8","1:32.477","134,031","0,0","27.519","0,0","28.025","0,0","36.933","218,2","0.495"
"14:17:48.703","9","9","1:32.412","134,125","0,0","27.609","0,0","27.978","0,0","36.825","217,3","0.497"
"14:19:21.128","10","10","1:32.425","134,107","0,0","27.646","0,0","27.745","0,0","37.034","217,7","0.496"
"14:20:53.870","11","11","1:32.742","133,648","0,0","27.857","0,0","27.821","0,0","37.064","206,5","0.523"
"14:22:26.843","12","12","1:32.973","133,316","0,0","27.899","0,0","27.906","0,0","37.168","206,9","0.522"
"14:24:00.192","13","13","1:33.349","132,779","0,0","27.944","0,0","28.156","0,0","37.249","206,1","0.524"
"14:25:36.930","14","14","1:36.738","128,128","0,0","27.967","0,0","27.783","","","206,1","0.524"
"14:27:37.553","15","15","2:00.623","102,757","","","0,0","28.393","0,0","37.153","",""
"14:29:11.041","16","16","1:33.488","132,582","0,0","27.828","0,0","28.276","0,0","37.384","216,9","0.498"
"14:30:44.807","17","17","1:33.766","132,189","0,0","28.119","0,0","28.258","0,0","37.389","206,5","0.523"
