"Time of Day","Lap","LeadLap","Lap Tm","Speed","S1","S1 Tm","S2","S2 Tm","S3","S3 Tm","SPT","SPT Tm"
91 - Eduardo Barrichello - Stock Car PRO 2024
"15:36:51.770","1","1","1:30.953","151,793","0,0","35.357","0,0","37.228","0,0","18.368","204,9","0.527"
"15:38:19.938","2","2","1:28.168","156,587","0,0","33.160","0,0","37.098","0,0","17.910","242,2","0.446"
"15:39:47.606","3","3","1:27.668","157,480","0,0","32.720","0,0","37.048","0,0","17.900","247,1","0.437"
"15:41:15.211","4","4","1:27.605","157,594","0,0","32.729","0,0","37.008","0,0","17.868","245,5","0.440"
"15:42:42.751","5","5","1:27.540","157,711","0,0","32.595","0,0","37.028","0,0","17.917","248,3","0.435"
"15:44:10.266","6","6","1:27.515","157,756","0,0","32.543","0,0","37.007","0,0","17.965","249,4","0.433"
"15:45:37.619","7","7","1:27.353","158,048","0,0","32.539","0,0","36.820","0,0","17.994","248,8","0.434"
"15:47:04.861","8","8","1:27.242","158,249","0,0","32.452","0,0","36.861","0,0","17.929","252,3","0.428"
"15:48:32.127","9","9","1:27.266","158,206","0,0","32.511","0,0","36.817","0,0","17.938","248,8","0.434"
"15:49:59.573","10","10","1:27.446","157,880","0,0","32.603","0,0","36.886","0,0","17.957","250,6","0.431"
"15:52:00.468","11","11","2:00.895","114,198","0,0","32.568","0,0","36.983","","","251,7","0.429"
"15:53:35.835","12","12","1:35.367","144,767","","","0,0","37.078","0,0","17.934","190,8","0.566"
"15:55:03.068","13","13","1:27.233","158,266","0,0","32.591","0,0","36.780","0,0","17.862","248,8","0.434"
"15:56:31.439","14","14","1:28.371","156,228","0,0","32.669","0,0","37.291","0,0","18.411","252,3","0.428"
"15:58:00.145","15","15","1:28.706","155,638","0,0","32.960","0,0","37.380","0,0","18.366","245,5","0.440"
"15:59:28.909","16","16","1:28.764","155,536","0,0","32.984","0,0","37.350","0,0","18.430","243,8","0.443"
"16:00:57.805","17","17","1:28.896","155,305","0,0","33.073","0,0","37.408","0,0","18.415","245,5","0.440"
"16:02:26.081","18","18","1:28.276","156,396","0,0","32.970","0,0","37.348","0,0","17.958","243,8","0.443"
"16:03:54.530","19","19","1:28.449","156,090","0,0","32.719","0,0","37.288","0,0","18.442","248,8","0.434"
"16:05:23.333","20","20","1:28.803","155,468","0,0","33.100","0,0","37.323","0,0","18.380","243,8","0.443"
"16:06:52.878","21","21","1:29.545","154,179","0,0","33.164","0,0","37.720","0,0","18.661","244,9","0.441"
4 - Julio Campos - Stock Car PRO 2024
"15:36:52.740","1","1","1:31.569","150,772","0,0","35.679","0,0","37.439","0,0","18.451","204,2","0.529"
"15:38:20.893","2","2","1:28.153","156,614","0,0","32.897","0,0","37.254","0,0","18.002","241,1","0.448"
"15:39:48.543","3","3","1:27.650","157,513","0,0","32.550","0,0","37.149","0,0","17.951","247,7","0.436"
"15:41:16.124","4","4","1:27.581","157,637","0,0","32.514","0,0","37.127","0,0","17.940","247,7","0.436"
"15:42:43.969","5","5","1:27.845","157,163","0,0","32.477","0,0","37.142","0,0","18.226","248,3","0.435"
"15:44:11.298","6","6","1:27.329","158,092","0,0","32.431","0,0","36.950","0,0","17.948","252,3","0.428"
"15:45:38.944","7","7","1:27.646","157,520","0,0","32.421","0,0","37.288","0,0","17.937","248,8","0.434"
"15:47:06.473","8","8","1:27.529","157,731","0,0","32.423","0,0","37.134","0,0","17.972","250,0","0.432"
"15:48:34.214","9","9","1:27.741","157,349","0,0","32.497","0,0","37.183","0,0","18.061","248,8","0.434"
"15:50:35.857","10","10","2:01.643","113,496","0,0","32.579","0,0","37.144","","","250,0","0.432"
"15:52:11.799","11","11","1:35.942","143,899","","","0,0","37.489","0,0","18.010","188,5","0.573"
"15:53:39.382","12","12","1:27.583","157,633","0,0","32.514","0,0","37.095","0,0","17.974","248,8","0.434"
"15:55:07.052","13","13","1:27.670","157,477","0,0","32.650","0,0","37.103","0,0","17.917","249,4","0.433"
"15:56:35.260","14","14","1:28.208","156,516","0,0","32.642","0,0","37.192","0,0","18.374","248,8","0.434"
"15:58:03.808","15","15","1:28.548","155,915","0,0","32.819","0,0","37.298","0,0","18.431","244,3","0.442"
"15:59:32.379","16","16","1:28.571","155,875","0,0","32.986","0,0","37.168","0,0","18.417","243,2","0.444"
"16:01:00.664","17","17","1:28.285","156,380","0,0","33.006","0,0","37.276","0,0","18.003","242,7","0.445"
"16:02:29.147","18","18","1:28.483","156,030","0,0","32.835","0,0","37.212","0,0","18.436","247,7","0.436"
"16:03:58.067","19","19","1:28.920","155,263","0,0","33.026","0,0","37.471","0,0","18.423","243,2","0.444"
"16:05:26.893","20","20","1:28.826","155,427","0,0","33.079","0,0","37.321","0,0","18.426","243,8","0.443"
"16:06:55.912","21","21","1:29.019","155,090","0,0","33.116","0,0","37.474","0,0","18.429","243,2","0.444"
10 - Ricardo Zonta - Stock Car PRO 2024
"15:36:53.084","1","1","1:31.630","150,671","0,0","35.732","0,0","37.488","0,0","18.410","206,1","0.524"
"15:38:21.541","2","2","1:28.457","156,076","0,0","33.042","0,0","37.306","0,0","18.109","241,6","0.447"
