"Time of Day","Lap","Lap Tm","Speed","S1","S1 Tm","S2","S2 Tm","S3","S3 Tm","SPT","SPT Tm"
29 - Daniel Serra - Stock Car PRO 2024
"15:03:00.869","1","1:52.643","122,564","","","0,0","41.602","0,0","22.705","161,0","0.671"
"15:04:39.189","2","1:38.320","140,419","0,0","38.068","0,0","41.057","0,0","19.195","197,1","0.548"
"15:06:15.174","3","1:35.985","143,835","0,0","35.331","0,0","41.066","0,0","19.588","237,9","0.454"
"15:07:49.450","4","1:34.276","146,442","0,0","36.126","0,0","39.676","0,0","18.474","220,4","0.490"
"15:09:17.440","5","1:27.990","156,904","0,0","32.733","0,0","36.975","0,0","18.282","243,8","0.443"
"15:10:45.227","6","1:27.787","157,267","0,0","32.611","0,0","36.961","0,0","18.215","244,9","0.441"
"15:15:56.497","7","5:11.270","44,354","0,0","32.562","0,0","37.049","","","246,0","0.439"
"15:17:38.052","8","1:41.555","135,946","","","0,0","39.394","0,0","18.797","189,8","0.569"
"15:19:06.355","9","1:28.303","156,348","0,0","32.664","0,0","37.217","0,0","18.422","246,6","0.438"
"15:20:34.421","10","1:28.066","156,769","0,0","32.679","0,0","37.103","0,0","18.284","246,6","0.438"
"15:24:37.668","11","4:03.247","56,757","0,0","35.451","0,0","42.649","","","246,0","0.439"
"15:26:24.886","12","1:47.218","128,766","","","0,0","39.983","0,0","19.113","132,5","0.815"
"15:31:48.913","13","5:24.027","42,608","0,0","39.807","0,0","44.513","","","183,7","0.588"
"15:33:28.395","14","1:39.482","138,779","","","0,0","39.143","0,0","18.649","188,8","0.572"
"15:34:55.181","15","1:26.786","159,081","0,0","32.195","0,0","36.553","0,0","18.038","246,6","0.438"
"15:36:21.707","16","1:26.526","159,559","0,0","32.058","0,0","36.384","0,0","18.084","248,3","0.435"
19 - Felipe Massa - Stock Car PRO 2024
"15:02:31.436","1","1:42.474","134,727","","","0,0","38.976","0,0","20.054","184,6","0.585"
"15:04:04.347","2","1:32.911","148,594","0,0","33.150","0,0","37.412","0,0","22.349","243,2","0.444"
"15:05:32.771","3","1:28.424","156,134","0,0","32.945","0,0","37.242","0,0","18.237","245,5","0.440"
"15:07:00.825","4","1:28.054","156,790","0,0","32.755","0,0","37.063","0,0","18.236","244,9","0.441"
"15:08:28.869","5","1:28.044","156,808","0,0","32.873","0,0","36.972","0,0","18.199","245,5","0.440"
"15:09:56.607","6","1:27.738","157,355","0,0","32.636","0,0","36.928","0,0","18.174","246,0","0.439"
"15:15:45.026","7","5:48.419","39,625","0,0","36.409","0,0","40.697","","","246,0","0.439"
"15:17:25.036","8","1:40.010","138,046","","","0,0","40.541","0,0","18.349","191,8","0.563"
"15:18:53.129","9","1:28.093","156,721","0,0","32.683","0,0","37.197","0,0","18.213","246,0","0.439"
"15:22:45.007","10","3:51.878","59,540","0,0","32.665","0,0","37.124","","","246,0","0.439"
"15:24:26.607","11","1:41.600","135,886","","","0,0","40.137","0,0","18.815","186,2","0.580"
"15:25:57.489","12","1:30.882","151,911","0,0","34.006","0,0","38.482","0,0","18.394","241,1","0.448"
"15:31:53.152","13","5:55.663","38,818","0,0","32.332","0,0","46.128","","","246,0","0.439"
"15:33:35.397","14","1:42.245","135,029","","","0,0","42.350","0,0","18.766","187,2","0.577"
"15:35:02.005","15","1:26.608","159,408","0,0","32.189","0,0","36.395","0,0","18.024","247,7","0.436"
0 - Caca Bueno - Stock Car PRO 2024
